Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"3-Oxa-7-thiatricyclo[3.3.0.0(2,4)]octane 7,7-dioxide",278306,
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",33955,
Methyl 2-Butenyl Ether,26902,
"2-Propanol, 1,1'-oxybis-",231486,
Ethyl 2-Nonylacrylate,91779,
1-(Phenylsulphinylmethyl)cyclododecene,20836,
"N,N-diethyl-2-(2-(2-phenylethylcarbonyl)phenoxy)ethamine",5701,
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",32648,
"trans-3-Hexene-2,5-dione",258339,
4-Hydroxy-4-phenylcyclohexanone - ethylene ketal,198009,
"2,2,5,5-Tetramethylhexane-3,4-diol",244668,
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",78356,
3-Methoxy-2-propenal ,11912,
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",37402,
"4-Heptanol, 4-methyl-",402573,
"(7Z,11Z)-Hexadecadienal",34570,
3-Pentanone,36108,
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",21145,
"Piperidine, 1-acetyl-",68266,
"1-(Iodomethyl)-2,2-dimethylcyclopentane",65434,
Chromonar ,33312,
"(1R*,2R*)-Dimethylcyclopentan-1-ol",25653,
Vinyl N-cyclohexylcarbamate,140667,
1-AZIDO-1-PHENYLETHYLENE ,7916,
(Z)-4-aminocrotonic acid ,22658,
trans-isopropyl(phenyl-seleno)sulfine,1191955,
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one ",615729,
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",9497,
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",29088,
Dec-1-en-4-ol,14720,
Phosphorus trifluoride,8369,
cyclopentanecarbonitrile ,28540,
"1-Butanol, 2-ethyl-",216912,
"Isopropyl O-(isobutoxycarbonyl)-2,3,4-trideoxy-4-methyl-.alpha.-D-erythro-he...",594464,
"5.18 Pyrazine<2,5-dimethyl->",1943295,
"N-[(5R)-10,10-Dimethyl-3,3-dioxo-3-thia-4-azatricyclo[5.2.1.0(1,5)]dec-4-yl]...",19506,
Methyl ester of cis-2-Chlormethyl-tetrahydrofuran-3-carboxylic acid,24580,
[(acetonyloxy)methyl]-15-crown-5,144818,
Neopentyl 2-hydroxybutanoate,447445,
1-(.alpha.-Hydroxybenzyl)cyclopentanol,70538,
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",23308,
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",18925,
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",40493,
2-acetonylcyclooctanone ,88205,
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",38486,
Bicyclo[2.2.2]oct-5-en-2-one,13018,
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",20483,
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",49947,
3-(Hydroxymethyl)cyclohex-2-en-1-one,16707,
2-Nonanone,1845893,
"(E)-3-methyl-2,4-pentadien-1-ol ",217133,
n-Fluorodacane ,321277,
"tricyclo[4.3.2.0(1,6)]undeca-2,4-diene",18000,
Tetraethyleneglycol diglycidyl ether,44282,
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",14122,
"Trisulfide, dimethyl",4068523,
1-Cyclohexyl-2-methylbut-3-en-1-ol,125691,
dichloromethyl propyl sulfone,36643,
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",20503,
"4-Methyl-9-oxo-8-oxa-3,5-nonanothiazole-3-ium bromide",20481,
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,109411,
2-Propenal,130583,
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",58546,
4-(4-Nitrophenylazo)-N-ethyl-N-[2-(methacryloyloxy)ethyl]aniline,2749,
"(E,Z)-6-Phenyl-5,11-didecadienal",7654,
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",8136,
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,40332,
"3,3-Bis(methoxymethyl)oxacyclobutane",168746,
2-Acetoxy-tetrahydrofuran,63854,
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",15894,
t-Butyl .alpha.-(Dibromomethylidenamino)-.alpha.-cyano-.beta.-phenylpropanoate,9027,
"Pentane, 3,3-dimethyl-",116903,
3-cyano-1-methoxymethoxyhept-2-ene,118563,
Methyl ester of 3-methyl-1-phenylpyrazole-4-carboxylic acid,6138,
"1,4-Diazido-2,5-dimethylcyclohexane",14797,
"1,4-diphenylbut-3-ene-2-ol",46436,
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",456745,
3-(1-Methylpyrrolyl)-3-azoacetone,38286,
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",94421,
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",30928,
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",51872,
"5-Methyl-5-( 2'-propynyloxy)-1,2-octadien-7-yn-4-one",56863,
4-Pyridinecarboxamide,113781,
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",599692,
"5-oxo-5,6-secocholest-3-en-6-oic acid",48665,
"3,3-dimethylpentane-2,4-dione ",78228,
[5-methyl-3-(3-butenyl)]isoxazole ,73030,
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",7687,
"3-[(N,N-Diethylamino)carbonyl]-5-methylpyrazole",6731,
"5-hydroxy-1-deutero-1,2-pentadiene",38743,
"N,N-Diethyl-3-(2-pyridyl)-3-oxo-propionamide",1837,
4-Isopropyloxazolidin-2-one,6926,
Chromafenozide,4202080,
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",300858,
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",847613,
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",662822,
"trans-1,4-Diacetoxy-2-butene",665523,
"Octa-1,3,7-triene-3,4-oxide",466909,
Ethyl 4-Methylheptanoate,565046,
"1,2-Ethanediol, monoacetate",506231,
[(E)-1-butyl-2-hex-2-enylidene]cyanamide,287066,
"2-Hydroxy-5-methylcyclohepta-2,4,6-trien-1-one",200819,
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",87827,
"[3-Amino-1,2,2-trimethylcyclopentyl]methyl acetate",53183,
"Butane, 2-isocyanato-",62576,
4-Methyl-3-propylpyrrolidin-2-one,23768,
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,9761,
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",27081,
3-Ethyl-2-methyl-2-heptanol,144173,
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",12978,
Methyl propargyl ether,193257,
"1,5-Heptadiene-3,4-diol, 2-methyl-",232618,
"(trans)-1,2,5-heptatriene",7612,
3-Hexanone,183747,
2-13C-Methoxycyclohexane,39263,
Methyl (E)-4-Hydroxy-6-methoxy-2-hexenoate,21700,
"1-[1,2,4]Triazol-1-ylethanone",307339,
(E)-2-(But-2-enyloxy)butan-2-one,76000,
"4-hydroxy-4-(trifluoromethyl)-2,5-cyclohexadien-1-one",24972,
Photocitral a ,93920,
"N,N'-Dicyclohexyl-N,N'-diisopropyloxomalonamide",17430,
"3-(Chloromethyl)-1,1,2,2-tetramethylcyclopropane",64819,
6-Iodo-1-octene,42427,
3-(o-Anisyl)-3-phenylpropenal,64413,
Formic acid,296540,
Cyanopyrazine,1015352,
Ethyl amino(phenyl)acetate,1442352,
(E)-2-Tetradecen-1-ol,38264,
5-Propyltetrahydropyran-2-one,31077,
4-Methoxy-1-nonene ,10959,
"meso-4,6-Dimethyl-2-(1'-ethoxycarbonylmethylene)-1,3-dioxane",43987,
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,19433,
"2-(1-Propenyl)-2-n-butyl-1,3-oxathiane",22948,
5-methyl-5-nitro-2-hexanone ,49662,
N-Ethyl-2-isopropoxycarbonylazetidine,19067,
Propanoic acid ,1936842,
"3-Hydroxy-4-methoxybenzaldehyde, TBDMS",8001112,
1-METHOXYBICYCLO(3.2.1)OCTANE,155873,
"1,1,2,3-tetrmethylcyclobutane",65887,
2-(Tetrahydropyran-2-yl)oxy-5-hexen-3-ol,195819,
Decanoic acid,225169,
"2,3,4-Trimethyl-2-pentanol",412625,
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,48302,
2-[(1-Ethynyl-1-methyl-2-propenyl)oxy]ethanol,114717,
"4-Cyclohexyl-5,5-dimethylcyclohexane-1,3-dione",175719,
O-Isopropyl(Z)-S-4-Phenylbut-3-enyl Dithiocarbonate,5606,
Dimethyl Sulfoxide,136523,
"1,2,4-Triazin-3-amine, 5,6-dimethyl- ",198804,
"Ethanamine, 2-(methylseleno)-",498614,
"2-oxa-4-methylene-6-(methylethenylcarbonyloxy)-8-acetoxy-8,12-dimethyl-9,13-...",35870,
1-Octanol,1356906,
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",7269865,
testosterone 17b-acetate TMS,24178,
Methyl 4-trifluoromethyl-3-(2-chlorophenyl)-1H-pyrrole-2-carboxylate,471364,
"5,5-Dimethyl-1-oxaspiro[5.5]undec-2-ol",9408,
"Acetic acid, dodecyl ester",7766,
"1-Methyl-3,4-diamino-cyclohexane",20499,
3-ETHYL-PENTAN-2-OL ,15977,
"1-Methyl-1-(2,3-butadienyl)hydrazine",12233,
1-Methoxycarbonyl-2-methylimidazole,74529,
"(5S,6R)-4,5-Dimethyl-6-phenyl-3,4,5,6-tetrahydro-2H-1,3,4-oxadiazin-2-one",30269,
"2,3,4-Trimethyl-5-hexen-3-ol",355301,
"trans-2-(2-Ethenylcyclohexyl)-2-methyl-1,3-dioxolane",238664,
2-Undecanone,3564840,
"2-(t-Butyl)-3-pivaloyl-1,3-oxazolidin-5-one",509536,
"1-BENZYLOXYMETHYL-1-HYDROXYMETHYL-2,5-CYCLOHEXADIENE",19354,
(E)-1-(Hex-2-enyloxy)butan-2-one,30760,
1-Deuterio-2-cyclohexenyl acetate,11714,
Tetrahydrofurfuryl acrylate,20778,
"2,2-Dimethylpropanoic anhydride",21841,
3-Ethoxy-2-butanone,193378,
"Ethanamine, N-methyl- ",85026,
"Heptan-2,3,6-trione",33420,
"1-(Methoxyphenyl)-4-phenyl-1,2,4-triazoline-3,5-dione",15410,
"p-Toluic acid, 3,4-dichlorophenyl ester",354542,
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",1882457,
"Benzene, isocyanato-",42758,
4-(1-Methoxy-2-methylpropyl)pyridine,15704,
"4,5,6,8-PTetramethoxy-2,3-dihydroindeno[1,2,3-ij]isoquinolin-9-ol",2159979,
9-Hydroxyinalool,64468,
"Pentane, 2-chloro-",324193,
"1,2,6,8-Tetramethoxy-7-methyldihydrodibenzo[b,f]cyclohepten-5-one",404065,
"Propanoic acid, butyl ester",31490,
2-Vinylfuran ,411398,
"1,3-Benzodioxole",736937,
"syn-(1RS,2'SR(E))-2-(3'-Amino-2'-methylpropylidene)cyclohexanol",78901,
2-[[4-Bromobut-2(E)-enyl]oxy]tetrahydropyran,17321,
