Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"(+-)-(4.alpha.,5.beta.(E))-4-Methyl-5-(1-propenyl)-2-imidazolidinone",,99350
(+-)-.alpha.-Lycorane,,3644
(+-)-2-Acetylaminopentyl acetate,,38698
"(+-)-Ethyl 1,4,5,6-tetrahydro-5-hydroxy-5-methyl-6-oxo-2-pyridinecarboxylate",43529,
"(-)-(3R,6S)-2,3,6-trimethylhepten-7-ol",,45383
(-)-Asimilobine,2925972,
"(1's,3s)-3-hydroxy-3-phenyl-n-(1-phenylethyl)propionamid",28157,
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",3406,
"(1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-1,4,4a,5,6,7,8,9,10,10a-decahydro-1...",,34530
"(1R*,2R*)-1,2-Dimethylcyclohexan-1-ol",,17425
"(1R*,5S*)-1-[3'Methylbutyl]-5-hydroxy-2,2-dimethylcyclopentyl methyl ketone",,24850
"(1R,2R)-10-Pyrrolidinoisoborneol",,15013
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",,207114
"(1R,2S)-Amino-2-methyl-4-phenyl-1-pentanol-1",,10847
"(1R,2S)-N-Benzyl-2-hydroxy-7,7-dimethylbicyclo[2.2.1]heptane-1-sulfonamide",,316218
"(1R,2S,3R,5R)-2,5-Dimethylbicyclo[3.2.0]heptane-2.3-diol",174621,
"(1R,2S,5R)-5-Methyl-2-isopropylcyclohexyl (1R,4S)-2-Oxa-3-azabicyclo[2.2.2]o...",1950,
"(1R,2S,5R)-5-Methyl-2-isopropylcyclohexyl (1R,4S)-2-Oxa-3-azabicyclo[2.2.2]o...",19190,
"(1R,3R)-3-Acetyl-2,2-dimethylcyclobutaneacetaldehyde",,258544
"(1RS,2SR)-9-Oxa-11-azabicyclo[6.3.0]undec-5-en-10-one",80303,
"(1RS,3RS)-2-Methylcyclohexan-1,3-diol",,521703
"(1RS,6SR,8RS)-2-Aza-8-methyl-7-oxa-8-phenylbicyclo[4.2.0]octan-3-one",18148,
"(1S)-3-(3'-Acetoxy-1'-butynyl)-3-hydroxy-2,2,4-trimethylcyclohexyl acetate",86236,
"(1S,2S)-1-Ethyl-2-methyl-3-oxobutyl propanoate",,49916
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",22109,
"(2'S,R,R)-(-)-3-[2'-(1-Ethyl-1-methoxypropy)-2-oxobipyrrolidinyl-3-yl]-3-hex...",,23654
(2)-7-DODECENOL ,,8221
(2-(2H(1)-4-Methoxyphenylethyne,,495371
(2E)-4-(2-Hydroxyethoxy)-2-pentene,27108,
"(2E)-Penta-2,4-dienylcarbamic acid tert-butyl ester",193686,
(2R)-Cyclopentyl-1-phenyl-2-[(1S)phenylethylamino]ethanone,2395,
"(2R*,1'R*,2'R*)-2-(2'-Chloro-1'-hydroxycyclohextyl)-2-phenylacetic acid",,731123
"(2R,4R)-2,4-dimethylhexan-1-ol",15025,
"(2R,4S)-(-)-trans-4-Methyltetrahydro-5-oxo-2-furancarboxylic acid",,22108
"(2R,4S,5R)-2-Iodomethyl-5-methyl-4-hydroxytetrahydrofuran",147380,
"(2RS,4S)-[5-c(13)]-leucine",21290,
(2S)-3-methyl-2-butanol ,,111847
"(2S*,3R*,4S*,5S*)-3-[(S)-(2'-Methoxy-2'-phenylacetoxy)]-4-ethyltricyclo[4.2....",436031,
"(2S,2' S)-{N-[2'-(Methylamino)propionyl}bornane-10,12-sultam",,106423
"(2S,3R)-2-Methyl-2,3-epoxy-1-butanol",,17946
"(2S,3R)-3-Amino-4-phenylbutane-1,2-diol",,36776
(3-Fluorophenoxy)amine,,27325
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",40821,
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",52427,
"(3R*,5S*,6R*)-5-Anilino-3-isopropyl-6-methyl-6-phenyl-1,2,4-trioxane",,15344
"(3R,4S,1'S)-4-Methyl-3-[6',6'-ethylenedioxy-1'-dimethyl(phenyl)silylbutyl]ox...",,42562
(3S)-3-Hydroxy-2-pyrrolidinone,115355,
"(3S)-3-Phenyl-2,3-dihydro-1H-isoindol-1-one",,35585
"(3S,4R)-4-Cyclohexyl-3-methylbutan-4-olide",73525,
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",181614,
"(3S,5aS/R)-3-Pivaloyloxymethyltetrahydropyrrolo[1,2-b]oxaziridine",49052,
"(3S,5S)-3,5-Dihydroxy-3,5-dimethylheptan-4-one",,21811
"(3SR,4SR,5RS)-5-Hydroxy-2,4-dimethylheptyl isobutanoate",5350,
"(4E)-2,7-Dimethyl-4-octene-3,6-dione",,14240
"(4E,7S)-7-Methoxydodec-4-enoic acid",,113462
"(4R)-5,5-Dimethyl-4-hydroxyhept-6-en-3-one",82420,
"(4R)-5,5-Dimethyl-4-hydroxyhept-6-en-3-one",17889,
(4S)-4-Hydroxy-1-pyrroline-N-Oxide,46451,
"(4S)-4-Methyl-2-nitro-1,3-hexanediol",134087,
(4S)-4-tert-Butyl-3-[(E)-4'-ethoxy-2'-oxo-3'-butenoyl]oxazolidin-2-one,7946,
"(4S,E)-4-Methyl-2-hexen-1-ol",,328634
"(5R*,6R*)-5-Ethenyl-5-propyldodecan-6-ol",135038,
"(7S*,8R*)-7-Butyl-8-(1-methylethenyl)-5,5-dimethyl-2,-phenylperhydro[1,2,4]t...",,4750
"(anti,syn)-2-Hydroxy-5-ethylcyclopent-1-enecarboxylic acid methyl ester",42454,
(bromomethylsulfonyl)sulfene-quiniclidine-adduct,,32648
"(cis)-3-Hexene-2,5-dione ",758431,
(Cyanomethyl)cyclohexane ,12233,
"(E)-1,3-butadienyl-thiocyanate",60788,
(E)-1-(2-Tetrahydropyranyloxy)-6-nonene,8551,
(E)-1-(Hex-2-enyloxy)butan-2-one,,85987
(E)-1-(Hex-2-enyloxy)butan-2-one,,13406
(E)-1-(Hex-2-enyloxy)butan-2-one,,33558
(E)-1-[2-(Trimethylsilyl)ethynyl]-2-t-butoxycyclopropane,32808,
"(E)-3-Ethylidene-2',2',5,5-tetramethylspiro[bicyclo[2.1.0]pentane-2,5'-[1,3]...",,2602
(E)-3-Hexenyl (t-Butyl) Carbonate,13181,
(E)-3-Propyl-2-hepten-1-ol,17997,
(E)-5-Hydroxy-5-methylhex-2-en-4-one,,164270
"(E)-6-Butyl-1,6-nonadiene",61639,
"(E)-Deca-1,6-dien-3-one",18979,
"(E)-Deca-1,6-dien-3-one",15475,
"(E)-Ethyl 2,2-difluoro-4-phenylbut-3-enoate",,7186
(E)-Ethyl 3-iodo-3-decenoate,,152260
(E)-Methacrolein oxime,5411,
(E)-Methacrolein oxime,5308,
(E)-trimethyl(pent-3-en-2-yl)stannane,11723,
"(E,E)-1,4-Bis[(trimethylsilyloxy]buta-1,3-diene",8427,
"(E,E)-3,7-Dimethyl-1-(methoxymethoxy)-1,6-octadien-3-ol",,29016
"(E/Z)-2-(3-Ethoxy-1-methyl-2-propenyl)-2-methyl-1,3-cyclopentanedione",21390,
(E/Z)-3-Isopropoxy-2-pentene,22059,
(R)-(+)-4-Iodo[2.2]paracyclophane,,53696
(R)-(-)-2-Ethylhexan-1-ol,,12271
(R)-.beta.-Propyl-.gama.-butyrolactine,,288615
"(R)-2-(1-(1-Naphthyl)ethoxy)-1,3-dimethyl-1,3,2-diazaphosphopholane",11684,
"(R)-2-(N,N-Dibenzylamino)-3-chloro-1,1,1-trifluoropropane",,585013
(R)-2-benzyloxy-1-tert-butyldiphenylsilanyloxy-3-(4-methoxy-benzyloxy)-propane,22647,
(R)-2-Isopropyloxirane-2-carboxamide,,11782
"(R)-4-( 1',1'-Dimethylethyl)-1,3,2-dioxathiolane-2-one",,20498
"(R)-Dodeca-1,2-dien-4-ol",,63710
(R)-S-Ethylthio mandelate,,7844
(S)-(+)-2-(1-Ethoxyethoxy)-1-propanol,,465304
(S)-(+)-5-sec-Butyl-2-pyrimidinol,25028,
(S)-(-)-2-Acetylaminopropan-1-ol,,90683
(S)-2-[1-Ethyl-1-methoxypropyl)-1-[1-(3-methylbut-2-enyloxymethyl)-1-propyli...,,20094
(S)-2-Mercapto-1-phenylethanol,12636,
"(S)-3,4-Dimethylpentanol",191155,
(S)-3-Ethyl-4-methylpentanol,599553,
(S)-3-Phenylbut-3-en-2-ol,,9639
"(S)-3-sec-Butyl-1,5-bis(1,3,3-trimethyl-2-indolinyl)pentamethi-mium-perchlorate",,6653
(S)-4-Methyl-.gamma.-butyrolactoneone,34423,
"(S)-6-Methoxycatrbonylmethyl-2,2-dimethyl-1,3-dioxan-5-one",49270,
"(S,S)-1,1-Diethoxy-N-(1-phenylethyl)-2-propanamine",,44227
(tert-Butylsulfonyl)benzene,,35008
"(trans)-1,2-Diaminocyclobutane-1,2-dicarbonitrile",23902,
(Z)-1-(phenylthio)oct-2-ene ,,14761
(Z)-1-Iodo-5-tert-butyldimethylsilyloxypent-1-ene,,38859
(Z)-4-Methyl-2-pentenal ,,507447
(Z)-6-(Tetrahydropyran-2-yloxy)-1-trimethylsilylhex-2-ene,17412,
"(Z)-8-(Trimethylsilyl)-3,3-dimethyl-5-octenol",38090,
(Z)-Dec-4-enyl (E)-2-methylbut-2-enoate,,145141
(Z)-Pent-3-en-2-yl acetate,66531,
(Z/E)-2-Norboranone oxime,,182328
".alpha.,.alpha.'-diiodo-o-xylene ",,3853
.epsilon.-Methyl-.epsilon.-caprolactone,307576,
".omega.,.omega.-Diphenylhexane",,71898
"1'-(4-Methoxyphenyl)-1',3'-(1-chloro-1""-cyanoethano)spiro{naphthalene-1(2H)...""",77166,
"1,1'-Carbonyldiimidazole",63528,
"1,1,1,2,3,3-Hexafluoroheptane ",,25517
"1,1,1,3,3,5,5,7,7,9,9-Undecamethylpentasiloxane",,185363
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",,406197
"1,1,1-Trifluoro-2-(trifluoromethyl)-3-[3',3',3'-trifluoro-2'-(trifluoromethy...",,36109
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",19176,
"1,1,4,4-Tetramethoxybutane",11752,
"1,1-bis( Chloromethylboryl) ethane",,9173
"1,1-D(2)-hexaspiro[2.0.3.0.3.0.3.0.3.0.3.0]tricosane",,170612
"1,1-Dibutoxy-isobutane ",56422,
"1,1-Dimethoxy-octane ",17217,
"1,1-dimethylethyl 3-oxo-2-methylenepentanoate",,56705
"1,1-Dimethylethyl hexanoate",16666,
"1,12-Dodecanediol",,112082
"1,2,2-TRIMETHYL-3-OXO-3-PHENYLPROPYL TOLUENE-P-SULPHONATE",,11351
"1,2-Diisopropyl-1,2-diazetidine",,36886
"1,2-Dimethyl-5-(2-propyl)cyclohexanol",,16759
"1,2-Dimethyl-5-(2-propyl)cyclohexanol",,31039
"1,2-Epoxy-p-menthan-4-ol",34081,
"1,3,3a,4,5,6,7,8,9,9a-Decahydro-4,9-epoxybenzo[f]isobenzouran-1,3-dione",,203867
"1,3-Benzodioxole",,955138
"1,3-Diazetidine-2,4-dione, 1,3-bis(1-methylethyl)-",19092,
"1,3-Dimethyl-2,4-dioxo-6-(phenylcarbamoyl)-8-phenyl-1,2,3,4-tetrahydro[1.2.4...",,99235
