Name,PC1,PC2
(E)-Oct-2-en-4-one,0.037196575393433434,0.0031483458271123017
2-13C-Methoxycyclohexane,0.03719646379082433,0.0031483728906851033
"3-Hydroxy-4-methoxybenzaldehyde, TBDMS",0.037194762280248504,0.0031487828916878188
3-Ethyl-2-methyl-2-heptanol,0.03719248762791901,0.003022226999717174
"1-Propanol, 3-(methylthio)-",0.03719106919708901,0.003149656372815445
2-Azabicyclo[3.2.1]octan-3-one,0.037190864414113595,0.0031497041684210286
1-Nitro-2-(but-3-enyl)cyclohexane,0.03719079651748332,0.0030215498771477512
2-Acetyl-2-methyltetrahydrofuran,0.03719041566588499,0.0031498086748083533
"5-oxo-5,6-secocholest-3-en-6-oic acid",0.03718914434775637,0.0030208926772233753
dispiro[3.0.3.3]undecane-9-one,0.03718877101324569,0.003150189020595984
.alpha.-(3-hydroxyphenoxy)acetophenone,0.03718770702101247,0.0031504328824693
"Isopropyl O-(isobutoxycarbonyl)-2,3,4-trideoxy-4-methyl-.alpha.-D-erythro-he...",0.03718765585839573,0.0031504445657341185
"1-Methyl-2,3-dihydro-1H-pyrrolo[3,2-c]pyridine",-0.03718550655397795,1.0055684976256041e-4
Propanal,-0.03718539215402325,1.807532457472924e-5
2-carbomethoxy-bicyclo[2.2.1]heptane(exo),0.03718492242541449,0.003019232025012728
Methyl ester of cis-2-Chlormethyl-tetrahydrofuran-3-carboxylic acid,0.037184794896079516,0.003019182269949663
"tricyclo[4.3.2.0(1,6)]undeca-2,4-diene",0.037184339716023404,0.0030190048736840197
3-Hexanone,0.03718429817310814,0.003018988698032103
"1,2-Benzenediol, O-(4-ethylbenzoyl)-O'-propargyloxycarbonyl-",-0.037183899333313154,5.193927644372994e-4
2-[(1-Ethynyl-1-methyl-2-propenyl)oxy]ethanol,0.03718222014406485,0.0030181826873238726
"4,5-Dioxononanal",-0.03718069912361473,8.055096208182599e-4
"Oxetane, 2,3,4-trimethyl-, (2.alpha.,3.alpha.,4.beta.)-",-0.03717987793293991,8.611898124114395e-4
"1,4-Diazido-2,5-dimethylcyclohexane",0.03717720760945985,0.003016262808075398
Propyl pyruvate,0.0371770936200907,0.0030162195359524184
"5,6-bis[(Triisopropylsilyloxy)methyl]dec-5-ene-1,3,7,9-tetrayne",-0.037175937175129736,0.0010843807600876664
2-Methyl-2-chloro-3-(chloromethyl)butyrolactone,0.0371751255288312,0.003153194453346121
"Hexane, 3,3-dimethyl-",-0.03717475829255392,-8.900021490416296e-4
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,0.03717440103901046,0.003153347053393239
"N-Perfluorobutylsulfonyl-2,3,5,6-tetramethylaniline",0.03717431940220016,0.003015171533734427
"spiro[2,3-dihydroxy-1-oxa-5-oxocyclopentane--4,3'-1',2',5',6'-tetramethylbic...",0.0371728526220083,0.0031536710025657517
trans-isopropyl(phenyl-seleno)sulfine,0.03716663167786847,0.003154943397426341
Methyl trifluoroacetate,0.03716643726445643,0.0031549824345756703
Pent-4-enal,0.037162777550981976,0.0030109111505857798
"1-[1,2,4]Triazol-1-ylethanone",0.03716232741325462,0.0031557977843222024
"Hexane, 3-ethyl-4-methyl-",-0.037158485398816145,-0.0014844103205418912
(E)-2-Tetradecen-1-ol,0.03715740805163622,0.003008979772062382
"N,N'-Dicyclohexyl-N,N'-diisopropyloxomalonamide",0.0371557557478602,0.003008391466000393
"3H-1,2,4-Triazol-3-one, 1,2-dihydro-",-0.03715432453448951,-0.0016038829269981224
4-(1-Methoxy-2-methylpropyl)pyridine,0.037153946263422444,0.0030077503396523896
"(4E)-2,2,4-Trimethylhex-4-en-3-one",0.03715354956222189,0.0030076102158688844
1-(2-Methylphenyl)pentan-1-one,0.037153366387504494,0.003157513327531174
Dimethyl Sulfoxide,0.03715232879807049,0.0030071799797371673
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",0.03715218860915611,0.0031577327935807245
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",0.03715180981588681,0.0031578030918516884
"1,2,6,8-Tetramethoxy-7-methyldihydrodibenzo[b,f]cyclohepten-5-one",0.03715090364821242,0.003157970703538855
"3t-Bromo-1-vinyl-1c,2r-cyclohexanediol",-0.03715072982860346,-0.0017008097337937057
"3-(2-(2-METHYL-3-ALLYL-1,1-ETHYLENEDIOXYCYCLOPENTAN-2-YL)ETHYL)-1,5-HEXADIYNE",-0.0371477109081982,-0.0017783974534157203
Levulinamide,-0.03714682888820137,-0.0018004749636651024
(Z)-1-Amino-2-propananone -O-methyloxime,-0.037143723445286714,-0.0018762659747902106
Benzeneethanol,-0.037142061124693634,-0.001915678212720386
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",0.037142016906212605,0.003003601499491925
"1-Butanol, 2-ethyl-",0.03714131551166668,0.0031596976567616953
"2- and 4-(Trimethoxyacetoxy)-2,5,5-trimethyl-3-hexanone",0.03714120330004741,0.0030033232251504612
"1,1,2,3-tetrmethylcyclobutane",0.037138273424121335,0.003160228606019026
2-Vinylfuran,0.03713581478868449,0.0031606520422585347
"5-(1-Ethoxyethoxy)ethyl-5-methyl-(5R)-1,3,2-dioxathiolane-2-dioxide",-0.0371357194959672,-0.0020595010373510823
4-Pyridinecarboxamide,0.03713503783369621,0.003001232720123179
"2-ACETOXY-1-ACETYL-6-(1-ADAMANTYL)THIO-3-HYDROXY-3,5-DIMETHYL-1,2,3,6-TETRAH...",-0.03713445632727124,-0.0020870299921780305
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",0.037131442906342405,0.0030000281782175207
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",0.03713121130856247,0.002999950929196352
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",0.03712944652633114,0.002999363663599825
"2,,5,5-Tetramethyl-3-oxacyclohexanone",-0.03712835466618912,-0.00221544202198886
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",0.037127891172062284,0.0031619835721769093
Octyl Trifluoromethylsulfoxide,0.03712713324272854,0.002998597505059368
(R)-(+)-1-(3-tetrahydrofuryl)-1-oxo-2-hexyne,-0.03712612884576397,0.0025118888224460187
CROTONIC ANHYDRIDE,0.03712591390979691,0.0029981952940949003
cis-2-(1'-Chloro-1'-methylethyl)-5-methyltetrahydrofuran,-0.03712534881692014,-0.0022761720613824034
"Formic acid, decyl ester",-0.03712522282900365,-0.0022786839264468265
"1,1'-Ethylenedi-2-imidazoline",-0.03712078817602475,-0.0023654813912519614
3-Methyl-1-(2-tetrahydropyranyloxy)-2-butene,-0.0371203375744507,-0.002374131636531599
"(5S,6R)-4,5-Dimethyl-6-phenyl-3,4,5,6-tetrahydro-2H-1,3,4-oxadiazin-2-one",0.03711906528185679,0.00299595648650862
Desoxyanisoin,-0.03711793757200101,-0.002419707950476811
"4-Hexen-1-ol, 5-methyl-2-(1-methylethenyl)-, acetate",-0.03711733447406524,-0.002431032704571132
"3-Decen-1-ol, acetate, (Z)-",-0.03711690610601464,-0.002439045971069192
N-(But-2-enoyl)prop-2-enamide,0.03711524572063314,0.002994722328990216
Vinyl N-cyclohexylcarbamate,0.037115183553640615,0.003164020685219312
"2,3-Dihydro-2-methyl-5-ethylfuran",-0.037114822292034534,-0.0024776738524896714
"Methyl (2RS,3SR,4RS)-2-phenyl-4-(phenylseleno)tetrahydro-3-furancarboxylate",0.03711336281790545,0.002994117607667542
piperidine hydrochloride,-0.0371126184446198,-0.0025179106500655595
3-ETHYL-PENTAN-2-OL,0.03711137345094933,0.002993481272360229
"(2S,3S)-3-Azido-3-[(1-benzyloxy)cyclopropyl]-1,2-propanediol",-0.03711010691274182,-0.002563028399069238
"Acetic acid, octyl ester",-0.03710780388943284,-0.002603742639937079
"2,3-Dihydro farnesyl acetate",-0.03710656112802292,-0.002625461699645848
"Disulfide, diphenyl",-0.037106189547087956,0.0028831147892459403
"p-Anisic acid, 4-nitrophenyl ester",-0.03710586771213242,-0.002637505662676359
"trans-2,3-di(ethoxycarbonyl)-bicyclo[2.2.2]oct-5-ene",-0.03710490169890898,-0.002654197054458334
"Ethane, hexafluoro-",-0.03710446058806766,-0.0026617854771413567
Tetrahydrofurfuryl acrylate,0.03710387892118922,0.002991107071106127
3-(Hydroxymethyl)cyclohex-2-en-1-one,0.03710228781046688,0.0029906075729173604
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-",-0.03710149679113511,-0.0027122433958693994
"trans-Methyl 2-methyl-3-(2-hydroxyphenyl)-3,4-dihydro-1(2H)-isoquinoline-4-c...",-0.03709600845950066,-0.0028033772629371713
"3,3-(Ethylenedioxy)octanal",-0.03709534715884645,-0.002814166648966376
2-Propanol,-0.037095015884109524,-0.0028195566037773822
"3,5,7-Trimethyloxepan-2-one",0.03709384165075811,0.0029879815532003334
2-Tetradecanone,0.0370933952673677,-0.0053333103723954434
"Decanoic acid, ethyl ester",-0.03709194589450992,-0.0028690428434271975
"1-(Methoxyphenyl)-4-phenyl-1,2,4-triazoline-3,5-dione",0.03709102732569277,0.0029871157618735723
"meso-4,6-Dimethyl-2-(1'-ethoxycarbonylmethylene)-1,3-dioxane",0.037089375011219394,0.0029866095261573532
"Carbamic acid, (2-hydroxy-1-methylethyl)-, 1,1-dimethylethyl ester, (s)-",-0.03708842654944525,-0.002924780376033745
"1-Pentanone, 1-(4-methylphenyl)-",-0.037088137729714005,-0.002929309184192836
p-Methylbenzyl acetate,-0.03708797173714964,-0.0029319089633332903
1-mercapto-2-methoxycarbonylaminobut-3-ene,-0.03708740053555523,0.0031919035389824423
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",0.03708443020588445,0.00298510351173131
3-cyano-1-methoxymethoxyhept-2-ene,0.03708216425087585,0.0031688261584084027
"Benzene, isocyanato-",0.037077205130798034,0.003169494641301591
1-[(p-Methylphenyl)amino]acetone Oxime,-0.03707560336864965,-0.0031197405154677685
Bicyclo[2.1.0]pentane,0.03707347403650478,0.0029818126011776774
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",0.03707105227737943,0.0029810933617752623
2-[[4-Bromobut-2(E)-enyl]oxy]tetrahydropyran,0.037068355594751315,0.002980295833457578
"Propanoic acid, hexyl ester",0.03706663842012973,0.002979789806317798
"3-Buten-2-ol, 4-phenyl-",0.037056977978440646,0.0031720960814128575
2-Cyclopropyl-2-methyltetrahydrofuran,0.03705619857002676,0.0029767427863641137
n-Fluorodacane,0.03705215351547375,0.0031726887835747666
"Isopropyl 3,7,11-trimethyl-11-methoxy-2-.xi.-dodecenoate",0.037051403614682996,0.002975359657104289
"4'-(n-decyloxy)phenyl 4-[(S,S)-2,3-epoxy-(S)-1-hydroxynonyl]-benzoate",-0.037045938411072454,-0.0035309290674355705
"Ethanamine, N-methyl-",0.0370421682304687,0.0031738839734228
"N-[(5R)-10,10-Dimethyl-3,3-dioxo-3-thia-4-azatricyclo[5.2.1.0(1,5)]dec-4-yl]...",0.03703824201289685,0.0029716129737185435
4-Methyl-3-propylpyrrolidin-2-one,0.0370382145016454,0.0031743459033468048
1-(.alpha.-Hydroxybenzyl)cyclopentanol,0.037037966092816586,0.002971535181765686
4-methoxymethoxybut-2-yne,-0.03703789770827855,0.003885325908693129
2-Methyl-1-cyclopentanol,0.0370377495777245,0.002971474159336203
"(2R)-1,2-Dibenzyloxy-5-(1,3-dioxolan-2-yl)pentan-3-one",0.03703657407270951,0.0031745357354771063
"Octa-1,3,7-triene-3,4-oxide",0.03703487543202722,0.0031747311915511934
"Butane, 1-chloro-",0.03703414962767957,0.0031748143646860016
"1,3-diacetoxypropa-2-one",0.037032766632014144,0.0029700748398541433
Methyl ester of 3-methyl-1-phenylpyrazole-4-carboxylic acid,0.037032530762241764,0.0029700088408367957
3-(1-Methylpyrrolyl)-3-azoacetone,0.03703136025543912,0.0029696816346852246
Bis(1-norbornyl)mercury,0.03702320599116205,0.0031760442221677354
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,-0.03701778750279494,-0.00388206245616555
N-Methoxy-N-methylpropionamide,0.03701726306592271,0.0029657808551229823
Photocitral a,0.03701653144525199,0.003176772765252726
"2,3,4-Trimethyl-5-hexen-3-ol",0.037014084189201255,0.0031770359477017096
2-(Tetrahydropyran-2-yl)oxy-5-hexen-3-ol,0.03700908045101271,0.0031775676417519147
"N-Allyl-N,N-dimethylamine",0.037008913347310345,0.003177585251364897
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",0.03699857141325522,0.003178657137165106
Ethyl 4-Methylheptanoate,0.036997443058419746,0.0029604137046413143
"(E)-5,5-Difluoro-4-hydroxy-2-dodecen-6-one",0.03699670625598086,0.002960216664307549
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,0.03699048086262323,0.0029585586127708454
Diisobutyl cellosolve,0.03698498262630336,0.002957104110191229
2-acetonylcyclooctanone,0.03698319519255614,0.003180188253001441
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",0.03698317594435414,0.0031801901247855108
4-Ethyl-2-methylpyrrole-3-carbonitrile,0.03698194001159449,0.00295630310508058
Dibutyl phthalate,-0.03697922514156903,-0.004317898426731952
Tetraethyleneglycol diglycidyl ether,0.03697792077399348,0.003180697102071632
2-Undecanol,0.03697738602890212,0.003180748240760015
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",0.0369661472965238,0.002952188290200943
"N,N-Diethyl-3-(2-pyridyl)-3-oxo-propionamide",0.036965081105830314,0.0029519129998973924
"1,4-diphenylbut-3-ene-2-ol",0.036960617437127655,0.0029507638125739347
"Hydrazine, 1,1-dimethyl-",0.0369582626033976,0.003182524575000653
3-Ethoxy-2-butanone,0.036954233646485965,0.0029491294631404626
1H-Imidazol-2-amine,-0.03694578492330561,0.004913639559015021
2-Pyridinecarboxylic acid,0.03694122464000914,0.002945831244669358
2'-Methyl-2'-propenyl 2-Propynaoate,-0.03693737947703254,-0.004746511536180246
3-Pentanone,0.03693585991509581,0.002944483279059354
"N,N-Dimethyl-2,2-bis(1'-naphthyl)acetamide",0.03693248907216183,0.002943639830800408
cis/trans-5-Phenyl-2-tetrahydrofurylmethyl 2'-pyridyl sulfide,-0.03693016838811711,-0.004816575192846597
"1-Methyl-1-(2,3-butadienyl)hydrazine",0.03692940872922849,0.0029428714113215486
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",0.0369241732792794,0.0029415704262456014
"Acetic acid, dodecyl ester",0.03692410678590979,0.0029415539433412675
"trans-1,4-Diacetoxy-2-butene",0.03691478634750228,0.003186216671382536
Hydrazino(3-phenylsydnon-4-yl)methanone oxime,0.036901942443166226,0.0029361140966374794
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,0.03689191827980737,0.0029336880196756503
