Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAl,,,,,,,
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one ",1144478,,,,,,,,
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",17652,,,,,,,,
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",54067,,,,,,,,
Dec-1-en-4-ol,27361,,,,,,,,
Phosphorus trifluoride,15556,,,,,,,,
cyclopentanecarbonitrile ,53048,,,,,,,,
"1-Butanol, 2-ethyl-",403182,,,,,,,,
"Isopropyl O-(isobutoxycarbonyl)-2,3,4-trideoxy-4-methyl-.alpha.-D-erythro-he...",1104952,,,,,,,,
"5.18 Pyrazine<2,5-dimethyl->",3612072,,,,,,,,
"methyl tetradeca-12,13-dienoate ",98567,,,,,,,,
"N-[(5R)-10,10-Dimethyl-3,3-dioxo-3-thia-4-azatricyclo[5.2.1.0(1,5)]dec-4-yl]...",36257,,,,,,,,
Methyl ester of cis-2-Chlormethyl-tetrahydrofuran-3-carboxylic acid,45688,,,,,,,,
[(acetonyloxy)methyl]-15-crown-5,269178,,,,,,,,
Neopentyl 2-hydroxybutanoate,831682,,,,,,,,
1-(.alpha.-Hydroxybenzyl)cyclopentanol,131112,,,,,,,,
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",43323,,,,,,,,
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",35177,,,,,,,,
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",75266,,,,,,,,
2-acetonylcyclooctanone ,163950,,,,,,,,
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",71535,,,,,,,,
Butanal,27862,,,,,,,,
Bicyclo[2.2.2]oct-5-en-2-one,24197,,,,,,,,
(E)-Methacrolein oxime,372472,,,,,,,,
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",38072,,,,,,,,
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",92838,,,,,,,,
3-(Hydroxymethyl)cyclohex-2-en-1-one,31054,,,,,,,,
"(E)-3-methyl-2,4-pentadien-1-ol ",403593,,,,,,,,
n-Fluorodacane ,597169,,,,,,,,
"tricyclo[4.3.2.0(1,6)]undeca-2,4-diene",33457,,,,,,,,
Tetraethyleneglycol diglycidyl ether,82309,,,,,,,,
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",26249,,,,,,,,
"Trisulfide, dimethyl",7562310,,,,,,,,
1-Cyclohexyl-2-methylbut-3-en-1-ol,233626,,,,,,,,
dichloromethyl propyl sulfone,68110,,,,,,,,
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",38110,,,,,,,,
"4-Methyl-9-oxo-8-oxa-3,5-nonanothiazole-3-ium bromide",38069,,,,,,,,
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,203366,,,,,,,,
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",108822,,,,,,,,
4-(4-Nitrophenylazo)-N-ethyl-N-[2-(methacryloyloxy)ethyl]aniline,5110,,,,,,,,
"(E,Z)-6-Phenyl-5,11-didecadienal",14227,,,,,,,,
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",15123,,,,,,,,
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,74967,,,,,,,,
"3,3-Bis(methoxymethyl)oxacyclobutane",313654,,,,,,,,
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",29543,,,,,,,,
t-Butyl .alpha.-(Dibromomethylidenamino)-.alpha.-cyano-.beta.-phenylpropanoate,16779,,,,,,,,
3-cyano-1-methoxymethoxyhept-2-ene,220377,,,,,,,,
Methyl ester of 3-methyl-1-phenylpyrazole-4-carboxylic acid,11409,,,,,,,,
"1,4-Diazido-2,5-dimethylcyclohexane",27504,,,,,,,,
"Pyrazine, 2-ethyl-6-methyl-",692970,,,,,,,,
"1,4-diphenylbut-3-ene-2-ol",86312,,,,,,,,
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",848968,,,,,,,,
3-(1-Methylpyrrolyl)-3-azoacetone,71164,,,,,,,,
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",175504,,,,,,,,
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",57487,,,,,,,,
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",96416,,,,,,,,
"5-Methyl-5-( 2'-propynyloxy)-1,2-octadien-7-yn-4-one",105693,,,,,,,,
4-Pyridinecarboxamide,211489,,,,,,,,
"5-oxo-5,6-secocholest-3-en-6-oic acid",90455,,,,,,,,
"3,3-dimethylpentane-2,4-dione ",145405,,,,,,,,
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",14288,,,,,,,,
"3-[(N,N-Diethylamino)carbonyl]-5-methylpyrazole",12511,,,,,,,,
"5-hydroxy-1-deutero-1,2-pentadiene",72013,,,,,,,,
"Cyclohexasiloxane, dodecamethyl-",3006260,,,,,,,,
"N,N-Diethyl-3-(2-pyridyl)-3-oxo-propionamide",3414,,,,,,,,
4-Isopropyloxazolidin-2-one,12874,,,,,,,,
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",559216,,,,,,,,
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",1575489,,,,,,,,
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",1232011,,,,,,,,
"trans-1,4-Diacetoxy-2-butene",1237032,,,,,,,,
"Octa-1,3,7-triene-3,4-oxide",867861,,,,,,,,
Ethyl 4-Methylheptanoate,1050271,,,,,,,,
"1,2-Ethanediol, monoacetate",940950,,,,,,,,
[(E)-1-butyl-2-hex-2-enylidene]cyanamide,533580,,,,,,,,
"2-Hydroxy-5-methylcyclohepta-2,4,6-trien-1-one",373270,,,,,,,,
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",163247,,,,,,,,
"[3-Amino-1,2,2-trimethylcyclopentyl]methyl acetate",98853,,,,,,,,
"Butane, 2-isocyanato-",116312,,,,,,,,
4-Methyl-3-propylpyrrolidin-2-one,44178,,,,,,,,
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,18143,,,,,,,,
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",50336,,,,,,,,
3-Ethyl-2-methyl-2-heptanol,267980,,,,,,,,
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",24123,,,,,,,,
Methyl propargyl ether,359214,,,,,,,,
