Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"N,N-Dimethyl-2,2-bis(1'-naphthyl)acetamide",141645,
"N-(Tosylmethyl)-2,2-dimethylpropanamide",212771,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",7636,
Bicyclo[2.1.0]pentane ,107688,
4-Picolyl butyl ether ,12814,
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",328149,
"Butane, 1-chloro-",1729859,
"3-Heptanone, 2,4-dimethyl- ",131444,
"2,5-Dimethylhexane-2,5-dihydroperoxide",7838574,
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",18463,
"2-Propenoic acid, methyl ester",36232,
2-Heptanone,1735411,
1-Methoxyhexan-2-ol ,126413,
2-Pyridinecarboxylic acid,125106,
"2(3H)-Furanone, dihydro-5-propyl-",86121,
"4-Allyl-5,5-dimethylcyclohexane-1,3-dione",1264,
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",35840,
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,584441,
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,217019,
"Propanal, 2-methyl-",249978,
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",105379,
E-Citral ,79162,
2-Acetyl-2-methyltetrahydrofuran,244595,
"3,5-Diamino-1,2,4-triazole",233164,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",89519,
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",57853,
N-Methoxy-N-methylpropionamide,38450,
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",533651,
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,176292,
t-Butyl .alpha.-Cyano-.alpha.-(formylamido)-.beta.-(p-methylphenyl)propanoate,24617,
p-Methylhydrocinnamic acid ,7704,
"1-Butanol, 3-methyl-",16912639,
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",3455307,
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,22647,
4-Ethyl-2-methylpyrrole-3-carbonitrile,99855,
N-(But-2-enoyl)prop-2-enamide,294900,
"1,1,2,2,3-hexafluoro-4-decanone ",36957,
"1,3-Benzenediol, monobenzoate",20859,
1-Acetoxymethyloxyundec-10-ene,43019,
Cyclopropylmethyl cyclopropane-1-carboxylate,11918,
"Disulfide, dihexyl",158178,
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",4693312,
"N-Allyl-N,N-dimethylamine",4101266,
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",108929,
"Ethyl 4-(chloromethylene)-2,2-diphenyl-3-oxazoline-5-carboxylate",786775,
Octyl Trifluoromethylsulfoxide,99284,
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,93686,
"N-(1'-Ethyl-4'-piperidinyl)-2-methoxy-5-[N-methyl-N-(4""-toluenesulfonyl)amin...",153649,
"2-Methyl-1,4-butanediol",443890,
"1-Propene, 2-methyl-",405138,
"Dimethyl 1,3,3-trimethylcyclobutan-1-ol-2,4-dicarboxylate",4465,
"3-Oxa-7-thiatricyclo[3.3.0.0(2,4)]octane 7,7-dioxide",517297,
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",63113,
Methyl 2-Butenyl Ether,50004,
"2-Propanol, 1,1'-oxybis-",430271,
Ethyl 2-Nonylacrylate,170593,
1-(Phenylsulphinylmethyl)cyclododecene,38729,
"N,N-diethyl-2-(2-(2-phenylethylcarbonyl)phenoxy)ethamine",10597,
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",60684,
"trans-3-Hexene-2,5-dione",480184,
4-Hydroxy-4-phenylcyclohexanone - ethylene ketal,368046,
"2,2,5,5-Tetramethylhexane-3,4-diol",454773,
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",145643,
3-Methoxy-2-propenal ,22141,
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",69520,
"4-Heptanol, 4-methyl-",748277,
"(7Z,11Z)-Hexadecadienal",64257,
3-Pentanone,67115,
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",39303,
"Piperidine, 1-acetyl-",126888,
"1-(Iodomethyl)-2,2-dimethylcyclopentane",121625,
Chromonar ,61918,
"(1R*,2R*)-Dimethylcyclopentan-1-ol",47682,
Vinyl N-cyclohexylcarbamate,261463,
1-AZIDO-1-PHENYLETHYLENE ,14714,
(Z)-4-aminocrotonic acid ,42115,
trans-isopropyl(phenyl-seleno)sulfine,2215530,
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one ",1144478,
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",17652,
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",54067,
Dec-1-en-4-ol,27361,
Phosphorus trifluoride,15556,
cyclopentanecarbonitrile ,53048,
"1-Butanol, 2-ethyl-",403182,
"Isopropyl O-(isobutoxycarbonyl)-2,3,4-trideoxy-4-methyl-.alpha.-D-erythro-he...",1104952,
"5.18 Pyrazine<2,5-dimethyl->",3612072,
"N-[(5R)-10,10-Dimethyl-3,3-dioxo-3-thia-4-azatricyclo[5.2.1.0(1,5)]dec-4-yl]...",36257,
Methyl ester of cis-2-Chlormethyl-tetrahydrofuran-3-carboxylic acid,45688,
[(acetonyloxy)methyl]-15-crown-5,269178,
Neopentyl 2-hydroxybutanoate,831682,
1-(.alpha.-Hydroxybenzyl)cyclopentanol,131112,
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",43323,
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",35177,
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",75266,
2-acetonylcyclooctanone ,163950,
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",71535,
Bicyclo[2.2.2]oct-5-en-2-one,24197,
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",38072,
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",92838,
3-(Hydroxymethyl)cyclohex-2-en-1-one,31054,
2-Nonanone,3431028,
"(E)-3-methyl-2,4-pentadien-1-ol ",403593,
n-Fluorodacane ,597169,
"tricyclo[4.3.2.0(1,6)]undeca-2,4-diene",33457,
Tetraethyleneglycol diglycidyl ether,82309,
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",26249,
"Trisulfide, dimethyl",7562310,
1-Cyclohexyl-2-methylbut-3-en-1-ol,233626,
dichloromethyl propyl sulfone,68110,
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",38110,
"4-Methyl-9-oxo-8-oxa-3,5-nonanothiazole-3-ium bromide",38069,
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,203366,
2-Propenal,242719,
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",108822,
4-(4-Nitrophenylazo)-N-ethyl-N-[2-(methacryloyloxy)ethyl]aniline,5110,
"(E,Z)-6-Phenyl-5,11-didecadienal",14227,
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",15123,
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,74967,
"3,3-Bis(methoxymethyl)oxacyclobutane",313654,
2-Acetoxy-tetrahydrofuran,118688,
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",29543,
t-Butyl .alpha.-(Dibromomethylidenamino)-.alpha.-cyano-.beta.-phenylpropanoate,16779,
"Pentane, 3,3-dimethyl-",217292,
