Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"(+-)-(1S,2E,4E)-1-Methylpenta-2,4-dien-1-yl acrylate",2829,
"(+-)-(2s*,3r*,4r*,5r*)-tetrahydro-5-isobuty-2,3-dimethyl-4-(phenylthio)-3-fu...",125256,
"(+-)-Ethyl 1,4,5,6-tetrahydro-5-hydroxy-5-methyl-6-oxo-2-pyridinecarboxylate",86367,
(-)-Asimilobine,5805500,
"(1's,3s)-3-hydroxy-3-phenyl-n-(1-phenylethyl)propionamid",55867,
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",6758,
"(1R,2S,3R,5R)-2,5-Dimethylbicyclo[3.2.0]heptane-2.3-diol",346470,
"(1R,2S,5R)-5-Methyl-2-isopropylcyclohexyl (1R,4S)-2-Oxa-3-azabicyclo[2.2.2]o...",3869,
"(1R,2S,5R)-5-Methyl-2-isopropylcyclohexyl (1R,4S)-2-Oxa-3-azabicyclo[2.2.2]o...",38075,
"(1RS,2SR)-9-Oxa-11-azabicyclo[6.3.0]undec-5-en-10-one",159331,
"(1RS,6SR,8RS)-2-Aza-8-methyl-7-oxa-8-phenylbicyclo[4.2.0]octan-3-one",36008,
"(1S)-3-(3'-Acetoxy-1'-butynyl)-3-hydroxy-2,2,4-trimethylcyclohexyl acetate",171103,
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",43867,
(2E)-4-(2-Hydroxyethoxy)-2-pentene,53786,
"(2E)-Penta-2,4-dienylcarbamic acid tert-butyl ester",384298,
(2R)-Cyclopentyl-1-phenyl-2-[(1S)phenylethylamino]ethanone,4752,
"(2R,4R)-2,4-dimethylhexan-1-ol",29812,
"(2R,4S,5R)-2-Iodomethyl-5-methyl-4-hydroxytetrahydrofuran",292421,
"(2RS,4S)-[5-c(13)]-leucine",42242,
"(2S*,3R*,4S*,5S*)-3-[(S)-(2'-Methoxy-2'-phenylacetoxy)]-4-ethyltricyclo[4.2....",865141,
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",80994,
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",104022,
(3S)-3-Hydroxy-2-pyrrolidinone,228879,
"(3S,4R)-4-Cyclohexyl-3-methylbutan-4-olide",145883,
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",360345,
"(3S,5aS/R)-3-Pivaloyloxymethyltetrahydropyrrolo[1,2-b]oxaziridine",97325,
"(3SR,4SR,5RS)-5-Hydroxy-2,4-dimethylheptyl isobutanoate",10615,
"(4R)-5,5-Dimethyl-4-hydroxyhept-6-en-3-one",163532,
"(4R)-5,5-Dimethyl-4-hydroxyhept-6-en-3-one",35494,
(4S)-4-Hydroxy-1-pyrroline-N-Oxide,92165,
"(4S)-4-Methyl-2-nitro-1,3-hexanediol",266046,
(4S)-4-tert-Butyl-3-[(E)-4'-ethoxy-2'-oxo-3'-butenoyl]oxazolidin-2-one,15766,
"(5R*,6R*)-5-Ethenyl-5-propyldodecan-6-ol",267933,
"(anti,syn)-2-Hydroxy-5-ethylcyclopent-1-enecarboxylic acid methyl ester",84234,
"(cis)-3-Hexene-2,5-dione ",1504823,
(Cyanomethyl)cyclohexane ,24272,
"(E)-1,3-butadienyl-thiocyanate",120611,
(E)-1-(2-Tetrahydropyranyloxy)-6-nonene,16966,
(E)-1-[2-(Trimethylsilyl)ethynyl]-2-t-butoxycyclopropane,65095,
(E)-3-Hexenyl (t-Butyl) Carbonate,26153,
(E)-3-Propyl-2-hepten-1-ol,35708,
"(E)-6-Butyl-1,6-nonadiene",122300,
"(E)-Deca-1,6-dien-3-one",37657,
"(E)-Deca-1,6-dien-3-one",30704,
(E)-Methacrolein oxime,10736,
(E)-Methacrolein oxime,10532,
(E)-trimethyl(pent-3-en-2-yl)stannane,23260,
"(E,E)-1,4-Bis[(trimethylsilyloxy]buta-1,3-diene",16720,
"(E/Z)-2-(3-Ethoxy-1-methyl-2-propenyl)-2-methyl-1,3-cyclopentanedione",42440,
(E/Z)-3-Isopropoxy-2-pentene,43768,
"(R)-2-(1-(1-Naphthyl)ethoxy)-1,3-dimethyl-1,3,2-diazaphosphopholane",23183,
(R)-2-benzyloxy-1-tert-butyldiphenylsilanyloxy-3-(4-methoxy-benzyloxy)-propane,44935,
(S)-(+)-5-sec-Butyl-2-pyrimidinol,49659,
(S)-2-Mercapto-1-phenylethanol,25071,
"(S)-3,4-Dimethylpentanol",379276,
(S)-3-Ethyl-4-methylpentanol,1189589,
(S)-4-Methyl-.gamma.-butyrolactoneone,68300,
"(S)-6-Methoxycatrbonylmethyl-2,2-dimethyl-1,3-dioxan-5-one",97758,
"(trans)-1,2-Diaminocyclobutane-1,2-dicarbonitrile",47425,
(Z)-6-(Tetrahydropyran-2-yloxy)-1-trimethylsilylhex-2-ene,34548,
"(Z)-8-(Trimethylsilyl)-3,3-dimethyl-5-octenol",75575,
(Z)-Pent-3-en-2-yl acetate,132006,
.epsilon.-Methyl-.epsilon.-caprolactone,610270,
"1'-(4-Methoxyphenyl)-1',3'-(1-chloro-1""-cyanoethano)spiro{naphthalene-1(2H)...""",153107,
"1,1'-Carbonyldiimidazole",126048,
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",38048,
"1,1,4,4-Tetramethoxybutane",23317,
"1,1-Dibutoxy-isobutane ",111948,
"1,1-Dimethoxy-octane ",34161,
"1,1-Dimethylethyl hexanoate",33067,
"1,2-Epoxy-p-menthan-4-ol",67621,
"1,3-Diazetidine-2,4-dione, 1,3-bis(1-methylethyl)-",37881,
"1,3-Dioxolane, 2-butyl-2-methyl-",2435194,
"1,3-Dioxolane, 2-butyl-2-methyl-",502133,
"1,3-Dioxolane-2-propanal, 2-methyl-",383623,
"1,3-DIPHENYL-1,3,5,5-TETRAMETHYL-CYCLOTRISILOXANE",46601,
"1,4-Butanediamine, 2,3-dimethoxy-N,N,N',N'-tetramethyl-, [S-(R*,R*)]-",776617,
"1,4-Butanediol",303157,
"1,4-Cyclohexanedione",131163,
"1,5,9-Undecatriene, 2,6,10-trimethyl-, (Z)-",382204,
"1,5-Diazabicyclo[3.2.1]octane",54290,
"1,5-dibromo-2,4-dimethyl-pentane ",6325,
"1,5-Dimethyl-2-pyrrolecarbonitrile",665306,
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",5810,
"1,7-Dioxaspiro[5.5]undeca-3,10-diene",22964,
"1,9-Decadiene",357194,
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",3436119,
1-(1-Hydroxybutyl)-2-methylcyclopropane ,14192,
1-(1-Propynyl)cyclopentanol,715736,
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",39252,
1-(Cyclobutylidenyl)propene ,40786,
