Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",29623,
1-Acetoxymethyloxyundec-10-ene,23144,
1-Acetyl-3-pentylbicyclo[1.1.1]pentane,,84840
"1-Acetyl-4,5-dihydro-1H-pyrazole",14103,
"1-Acetyl-4-(1,1-dimethyl-2-oxopropyl)cyclopentene",,7644
1-allylcyclopropanemethanol,,131127
1-Amino-1-ortho-chlorophenyl-2-(2-quinoxalinyl)ethene,,38953
"1-aza-3-oxa-2,4,4-triphenyl-cyclopent-1-ene",8266,
1-AZIDO-1-PHENYLETHYLENE,,
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",1771,
"1-BENZYLOXYMETHYL-1-HYDROXYMETHYL-2,5-CYCLOHEXADIENE",19354,
1-bromo-1-chloropentane,,
1-Bromo-2-azido-2-methylcyclohexane,,38430
"1-Butanol, 2-ethyl-",216912,
"1-Butanol, 3-methyl-, acetate",592993,
"1-Butene, 2,3-dimethyl-",,37620
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",9497,
1-Chlorooct-2-yl acetate,,
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",19282,
1-Cyclohexyl-2-methylbut-3-en-1-ol,125691,
1-Cyclopentyl-3-acetoxypropan-1-one,,89074
"1-D1-1,2,4-TRIAZOLE",65967,
1-Deuterio-2-cyclohexenyl acetate,11714,
1-Dotriacontanol,11942,
1-Hexadecyne,,67666
1-Hexanol,,229592
"1-Hexanol, 4-methyl-",,117774
"1-Hexene, 3,4-dimethyl-",,574465
1-Indanoyl pivalate,,
1-Isoquinolinecarbonitrile,,260874
1-Isothiocyanato-3-(methylthio)propane,,6519
"1-Methoxy-1,2-dimethylcyclobutane",,38691
1-METHOXY-1-(TRICHLORMETHYL)CYCLOPENTANE,,8946
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,12184,
1-methoxy-1-aryl-2-propanones,,10345
1-METHOXY-BUT-2-YNE,,
1-METHOXYBICYCLO(3.2.1)OCTANE,155873,
1-Methoxycarbonyl-2-methylimidazole,74529,
1-Methoxyhexan-2-ol,,
1-methoxypentadecan-3-one,,100938
"1-Methyl-1-(2,3-butadienyl)hydrazine",12233,
1-Methyl-1H-6-methoxybenzotriazole,8245,
"1-Methyl-3,4-diamino-cyclohexane",20499,
1-Methyl-5-nitro-4-phenylsulfonylimidazole,,75184
