Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAL
"Ethanone, 1-(2,4-dimethylphenyl)-",706383,541339
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",57853,704232
Ethyl 9-hexadecenoate,1099357,1109618
Ethyl 9-tetradecenoate,1974426,1617368
Ethyl Acetate,5208617,28086222
Ethyl Acetate,,28948331
Farnesol ,274701,67814
Formic acid,551190,386809
"Hexadecanoic acid, ethyl ester",574472,536582
"Hexanoic acid, 5-oxo-, methyl ester",241028,83162
Indole,169685381,155210561
Isophthalaldehyde,216414,478588
Isophthalaldehyde,442123,
Lauryl acetate,1091026,4222598
"Methane, dimethoxy-",98396,76141
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,36121,15323
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",23403,26639
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",14773,
Methyl Isobutyl Ketone,2266344,1664827
Methyl Isobutyl Ketone,952165,
Methylene chloride,327203,219462
OCTADECAMETHYLCYCLONONASILOXANE ,317002,326838
OCTADECAMETHYLCYCLONONASILOXANE ,84723,286596
OCTADECAMETHYLCYCLONONASILOXANE ,109164,104793
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7008058,6363695
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",3811138,3391003
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",1952892,1806718
p-Cresol,262322,151553
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",247734,588091
"Pentane, 1-propoxy-",227972,319308
"Pentane, 3,3-dimethyl-",217292,2678995
Phenol,264061,207254
"Propanoic acid, 2-methylpropyl ester",162154,134857
"Propanoic acid, decyl ester",236918,123686
"Propanoic acid, ethyl ester",7244491,8761423
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,584441,29908
t-Butyl 2-methylsuccinate,182935,129300
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",52838,41583
"Tetradecanoic acid, ethyl ester",1651599,1639658
Toluene,12076480,8459125
Toluene,4803,
,28535,
,41264,
,43301,
,75351,
,68229,
,75266,
,108822,
,47682,
,63113,
,60684,
,30586,
,533651,
,66907,
,73099,
,94948,
,43323,
,14749,
,163247,
,35177,
,12361,
,57842,
,14288,
,34833,
,92838,
,328783,
,17416,
,9872,
,29543,
,56262,
,64257,
,175504,
,71535,
,38941,
,70671,
,16638,
,141264,
,30998,
,71123,
,403593,
,42125,
,372472,
,157322,
,14227,
,1031126,
,24481,
,19868,
,1232011,
,328149,
,36061,
,126792,
,176292,
,646991,
,58513,
,93686,
,1039,
,94604,
,14149,
,57487,
,18143,
,42115,
,678052,
,69520,
,74967,
,49264,
,36959,
,25507,
,36957,
,122467,
,369524,
,751050,
,67214,
,940950,
,17665,
,20859,
,58994,
,50336,
,381435,
,242097,
,52561,
,382565,
,146831,
,466567,
,1575489,
,169082,
,329260,
,27504,
,86312,
,432375,
,3742,
,252097,
,131112,
,2713686,
,30171,
,1564338,
,9632,
,3455307,
,121625,
,28643,
,571262,
,43019,
,26214,
,15364,
,14714,
,3292,
,35974,
,55831,
,403182,
,252714,
,17652,
,28654,
,35840,
,233626,
,122615,
,21773,
,22197,
,22647,
,53455,
,289727,
,126413,
,22738,
,15325,
,38102,
,259658,
,43714,
,491786,
,18463,
,28931,
,14117,
,2522130,
,176870,
,405138,
,592108,
,1144478,
,10195,
,100712,
,231175,
,104546,
,70117,
,86121,
,7459,
,454773,
,4693312,
,54067,
,178253,
,40597,
,766961,
,660411,
,9151,
,122086,
,26249,
,38072,
,96416,
,132920,
,940414,
,38532,
,68528,
,138537,
,112230,
,20136,
,84193,
,38110,
,42654,
,22556,
,26234,
,60046,
,182823,
,947093,
,363976,
,89452,
,72980,
,213229,
,145643,
,3567,
,32195,
,163950,
,244595,
,1888593,
,36628,
,20911,
,76580,
,98513,
,373270,
,64901,
,443890,
,322296,
,43162,
,69355,
,18732,
,103152,
,48719,
,69626,
,42684,
,49392,
,66673,
,257234,
,98937,
,763887,
,8538199,
,20086,
,83946,
,7065,
,55532,
,36232,
,125106,
,218253,
,422822,
,764680,
,108929,
,313654,
,20890,
,145405,
,62929,
,68091,
,9833,
,200519,
,13740,
,71164,
,4526407,
,120481,
,31054,
,119727,
,559216,
,12511,
,43717,
,20221,
,131035,
,103080,
,220377,
,12087,
,359439,
,267980,
,29697,
,131444,
,371790,
,341537,
,14871955,
,22141,
,227379,
,848968,
,35400,
,189322,
,517297,
,447156,
,125719,
,67115,
,3314755,
,310152,
,100426,
,4014831,
,28725,
,47651,
,29190,
,10673,
,5110,
,1264,
,326615,
,99855,
,97909,
,18147,
,748277,
,46416,
,368046,
,93569,
,12874,
,44178,
,38069,
,20435,
,12814,
,211489,
,24799,
,114316,
,17487,
,15123,
,165537,
,222777,
,91816,
,2870639,
,314613,
,72013,
,188011,
,105693,
,92309,
,90455,
,57764,
,3612072,
,39303,
,15664,
,78861,
,167500,
,85970,
,21768,
,33963,
,17664,
,119829,
,269178,
,533580,
,1996,
,1349,
,105420,
,98853,
,14435,
,190859,
,984710,
,270704,
,66638,
,119558,
,2152017,
,151801,
,10823,
,79476,
,1968009,
,56745,
,71238050,
,107688,
,24197,
,70229,
,14552634,
,2609941,
,27862,
,1729859,
,116312,
,181693,
,152773,
,61918,
,335024,
,21675,
,93217,
,13167,
,99074,
,1887271,
,4279810,
,726407,
,33429,
,3006260,
,319130,
,388017,
,53048,
,300822,
,11918,
,599204,
,27361,
,418530,
,68110,
,245052,
,4465,
,253760,
,89006,
,291619,
,79162,
,203366,
,926792,
,158041,
,274333,
,1101656,
,170593,
,51336,
,33422,
,68188,
,786775,
,1050271,
,5918,
,2680952,
,266730,
,217019,
,20461,
,71375,
,446517,
,394574,
,4644296,
,78784,
,62119,
,1026299,
,979481,
,17751,
,1028641,
,86526,
,1104952,
,49108,
,81760,
,461513,
,72377,
,28143,
,87792,
,40335,
,50004,
,876141,
,11409,
,45688,
,179089,
,9266,
,359214,
,98567,
,21708,
,526217,
,30597,
,40426,
,269388,
,16487,
,32398,
,10597,
,3414,
,141645,
,153649,
,35130,
,294900,
,212771,
,13981,
,36257,
,4101266,
,13691,
,3814641,
,35441,
,597169,
,22978,
,38450,
,89368,
,923654,
,39522,
,831682,
,10420,
,867861,
,99284,
,9628405,
,785292,
,7704,
,7576,
,659000,
,56288,
,55431,
,602589,
,493944,
,22428,
,434541,
,15556,
,174572,
,98704,
,73530,
,126888,
,249978,
,10922,
,3600078,
,41928,
,29691,
,58532,
,530996,
,473113,
,692970,
,66883,
,11470,
,16634,
,73372,
,146656,
,16779,
,24617,
,44941,
,998574,
,176905,
,82309,
,38621,
,16394,
,37794,
,1237032,
,40515,
,28203,
,24123,
,443613,
,480184,
,2215530,
,33457,
,38260,
,7562310,
,261463,
,27243,
,33058,
,58262,
,1195428,
,13770,
,30069,
,4928128,
,20152,
,66597,
,148022,
,16262,
,12126,
,1610,
,1124476,
,94465,
,103844,
,153766,
,21695,
,8535,
,981996,
,137768,
,446143,
,2275875,
,28697,
,256680,
,76100,
,82032,
,12089,
,492920,
,19217,
,40093,
,15691,
,30658,
,8907,
,272766,
,51493,
,3569,
,43933,
,176517,
,60712,
,2203727,
,36809,
,2061,
,111812,
,21357,
,40175,
,81989,
,88178,
,145418,
,101507,
,129117,
,85888,
,118076,
,8762,
,31006,
,27887,
,17385,
,8372,
,29069,
,12654,
,423641,
,22266,
,93638,
,9545,
,91989,
,114779,
,366848,
,34994,
,23130,
,3094820,
,142242,
,7952,
,31273,
,216567,
,27032,
,49437,
,39673,
,107188,
,8223,
,14797,
,43268,
,144035,
,13279,
,274388,
,726816,
,398236,
,56407,
,4485,
,73043,
,163597,
,85294,
,282165,
,215818,
,25375,
,74922,
,68004,
,22245,
,15437,
,9444,
,73595,
,52361,
,522520,
,72087,
,122905,
,170970,
,18381,
,14381,
,808279,
,133143,
,32528,
,192552,
,34796,
,57584,
,515058,
,24152,
,7506,
,33401,
,79550,
,243275,
,92933,
,92020,
,30888,
,1199543,
,40158,
,613243,
,273916,
,79783,
,331273,
,10887,
,16310,
,213703,
,356428,
,,31979
,,64716
,,60742
,,161021
,,5906
,,62720
,,73554
,,55964
,,28241
,,40276
,,24332
,,17580
,,512509
,,419034
,,845548
,,80901
,,38337
,,13324
,,802870
,,1184964
,,35831
,,181276
,,172485
,,29086
,,59605
,,116562
,,44287
,,24869
,,68982
,,57674
,,35350
,,23079
,,183893
,,532632
,,7699
,,52914
,,4217
,,266240
,,11647
,,246775
,,47028
,,4368
,,87028
,,19888
,,467771
,,948157
,,19096
,,33222
,,103258
,,12713
,,754139
,,146974
,,32567
,,15622
,,10783
,,71681
,,23924
,,36144
,,62981
,,822442
,,235237
,,295507
,,6245
,,116528
,,13107
,,41357
,,300426
,,457734
,,658342
,,58524
,,14867
,,276519
,,91904
,,181656
,,18397
,,40835
,,22966
,,59783
,,27162
,,50306
,,330417
,,160835
,,25032
,,334558
,,61488
,,6292634
,,586131
,,32561
,,23198
,,126284
,,20357
,,55914
,,12663
,,32308
,,349352
,,28533
,,74280
,,355003
,,363512
,,9921
,,158044
,,1045890
,,15026
,,22950
,,6818
,,2047
,,13647
,,211553
,,99616
,,22086
,,84783
,,11425
,,383057
,,73371
,,1065843
,,147744
,,14473
,,137489
,,109266
,,83553
,,130614
,,62951
,,42647
,,22566
,,113961
,,91804
,,389133
,,318502
,,38049
,,61499
,,376955
,,295917
,,39128
,,215316
,,204258
,,47313
,,181621
,,166264
,,274491
,,55541
,,23070
,,3799
,,17060
,,2960428
,,107342
,,49549
,,32250
,,2366326
,,128389
,,235901
,,25686
,,68073
,,115297
,,45660
,,120292
,,40553
,,77554
,,20567
,,27737
,,5812776
,,1069413
,,80331
,,114329
,,7345
,,31519
,,204308
,,114703
,,71034
,,13172
,,2602185
,,105830
,,109885
,,50021
,,69924
,,87736
,,42256
,,40204
,,162245
,,19887
,,279739
,,25002
,,29925
,,150269
,,33773
,,202442
,,30579
,,20963
,,15347
,,16945
,,63921
,,22235
,,32350
,,46984
,,258916
,,261130
,,127781
,,3475
,,16590
,,113486
,,42371
,,39643
,,664796
,,21138
,,118347
,,20429
,,248985
,,40682
,,331846
,,52535
,,36611
,,9060
,,696943
,,210081
,,364185
,,736037
,,168911
,,136912
,,2827833
,,3755
,,84091
,,977371
,,401640
