Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAl
1-Acetoxymethyloxyundec-10-ene,43018.58736,454258.8454
Cyclopropylmethyl cyclopropane-1-carboxylate,11918.21561,71811.91806
"Disulfide, dihexyl",158178.4387,24052.14153
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",4693312.268,229651.7691
"N-Allyl-N,N-dimethylamine",4101265.799,121581.0056
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",108929.368,8346.368715
"Ethyl 4-(chloromethylene)-2,2-diphenyl-3-oxazoline-5-carboxylate",786775.0929,246096.8343
Octyl Trifluoromethylsulfoxide,99284.38662,243206.7039
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,93685.87361,62564.24581
"N-(1'-Ethyl-4'-piperidinyl)-2-methoxy-5-[N-methyl-N-(4""-toluenesulfonyl)amin...",153648.6989,35171.32216
Methoxycyclopentaneacetonitrile,72377.32342,55737.43017
"1-Propene, 2-methyl-",405137.5465,3202.979516
"Dimethyl 1,3,3-trimethylcyclobutan-1-ol-2,4-dicarboxylate",4464.684015,93137.80261
"3-Oxa-7-thiatricyclo[3.3.0.0(2,4)]octane 7,7-dioxide",517297.3978,144824.9534
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",63113.3829,4011.173184
Methyl 2-Butenyl Ether,50003.71747,795448.7896
"2-Propanol, 1,1'-oxybis-",430271.3755,5797.020484
Ethyl 2-Nonylacrylate,170592.9368,99690.87523
"N,N-diethyl-2-(2-(2-phenylethylcarbonyl)phenoxy)ethamine",10596.65428,2519108.007
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",60684.01487,436469.2737
"trans-3-Hexene-2,5-dione",480184.0149,103040.9683
4-Hydroxy-4-phenylcyclohexanone - ethylene ketal,368046.4684,192432.0298
"2,2,5,5-Tetramethylhexane-3,4-diol",454773.2342,219318.4358
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",145643.1227,4834929.236
3-Methoxy-2-propenal ,22141.26394,187966.4804
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",69520.4461,41398.51024
"4-Heptanol, 4-methyl-",748276.9517,426052.1415
"(7Z,11Z)-Hexadecadienal",64256.50558,570949.7207
3-Pentanone,67115.24164,359554.9348
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",39302.97398,185027.933
"Piperidine, 1-acetyl-",126888.4758,195487.8957
"1-(Iodomethyl)-2,2-dimethylcyclopentane",121624.5353,58234.63687
Chromonar ,61918.21561,15316.57356
"(1R*,2R*)-Dimethylcyclopentan-1-ol",47682.15613,801931.0987
"2,2,5,5-Tetradeuteriomethoxycyclohexane",7459.107807,218435.7542
Farnesol ,274700.7435,50575.41899
Vinyl N-cyclohexylcarbamate,261462.8253,24940.40968
1-AZIDO-1-PHENYLETHYLENE ,14713.75465,2778536.313
(Z)-4-aminocrotonic acid ,42115.24164,1020491.62
trans-isopropyl(phenyl-seleno)sulfine,2215529.74,161437.6164
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one ",1144477.695,117525.1397
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",17652.41636,12741.15456
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",54066.9145,39182.49534
Dec-1-en-4-ol,27360.5948,287670.3911
Phosphorus trifluoride,15555.76208,6402.234637
cyclopentanecarbonitrile ,53048.32714,24830.54004
"1-Butanol, 2-ethyl-",403182.1561,38776.53631
"Isopropyl O-(isobutoxycarbonyl)-2,3,4-trideoxy-4-methyl-.alpha.-D-erythro-he...",1104951.673,107394.7858
"5.18 Pyrazine<2,5-dimethyl->",3612072.491,59385.47486
"methyl tetradeca-12,13-dienoate ",98566.9145,22294.22719
"N-[(5R)-10,10-Dimethyl-3,3-dioxo-3-thia-4-azatricyclo[5.2.1.0(1,5)]dec-4-yl]...",36256.50558,130884.5438
Methyl ester of cis-2-Chlormethyl-tetrahydrofuran-3-carboxylic acid,45687.73234,84266.29423
[(acetonyloxy)methyl]-15-crown-5,269178.4387,153000
Neopentyl 2-hydroxybutanoate,831682.1561,267776.5363
1-(.alpha.-Hydroxybenzyl)cyclopentanol,131111.5242,483681.5642
"(2R,3S)-{3-[4-[(Tetrahydropyran-2-yl)oxy]but-2(E)-enyl]oxiranyl}methanol",43323.42007,18324.02235
"(2S)-2-Allyloxy-1,4-bis[(methanesulfonyl)oxy]butane",35176.57993,32439.47858
"(1'RS,2RS,3'S,5'R)-[5'-((tert-Butyldimethylsilanyl)oxy)-3'-fluoro-2'-methyle...",75265.79926,473543.7616
2-acetonylcyclooctanone ,163949.8141,11163.87337
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",71535.31599,42121.04283
Butanal,27862.45353,220072.6257
Bicyclo[2.2.2]oct-5-en-2-one,24197.02602,377903.1657
(E)-Methacrolein oxime,372472.119,1774700.186
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",38072.49071,114270.0186
"(3S,4R)-3,4-Dihydroxy-5-cyano-1-pentene",92838.28996,4513.96648
3-(Hydroxymethyl)cyclohex-2-en-1-one,31053.90335,86474.86034
2-Nonanone,3431027.881,71564.24581
"(E)-3-methyl-2,4-pentadien-1-ol ",403592.9368,15737.43017
n-Fluorodacane ,597169.145,35681.56425
"tricyclo[4.3.2.0(1,6)]undeca-2,4-diene",33457.24907,62661.08007
Tetraethyleneglycol diglycidyl ether,82308.55019,6737.430168
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",26249.07063,8918.063315
"Trisulfide, dimethyl",7562310.409,14454.37616
1-Cyclohexyl-2-methylbut-3-en-1-ol,233626.3941,143893.8547
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",38109.66543,270841.7132
"4-Methyl-9-oxo-8-oxa-3,5-nonanothiazole-3-ium bromide",38068.77323,6138163.873
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,203366.171,1354476.723
2-Propenal,242719.3309,33713.2216
"(1,1,2,3,3,3-hexafluoropropyl)cyclopentane",108821.5613,99059.59032
4-(4-Nitrophenylazo)-N-ethyl-N-[2-(methacryloyloxy)ethyl]aniline,5109.665428,1061279.33
"(E,Z)-6-Phenyl-5,11-didecadienal",14226.7658,193787.7095
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",15122.67658,25890.13035
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,74966.54275,67562.38361
"3,3-Bis(methoxymethyl)oxacyclobutane",313654.2751,67590.31657
2-Acetoxy-tetrahydrofuran,118687.7323,20862.19739
"(5,5-Dimethyl-1,3-dioxan-2-yl)-phenylmethanol",29542.75093,2783344.507
t-Butyl .alpha.-(Dibromomethylidenamino)-.alpha.-cyano-.beta.-phenylpropanoate,16778.81041,6772566.108
"Pentane, 3,3-dimethyl-",217291.8216,16184.35754
3-cyano-1-methoxymethoxyhept-2-ene,220377.3234,19264.43203
Methyl ester of 3-methyl-1-phenylpyrazole-4-carboxylic acid,11408.92193,41234.63687
"1,4-Diazido-2,5-dimethylcyclohexane",27503.71747,53945.99628
"Pyrazine, 2-ethyl-6-methyl-",692970.2602,205420.8566
"1,4-diphenylbut-3-ene-2-ol",86312.26766,427545.6238
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",848968.4015,213750.4655
3-(1-Methylpyrrolyl)-3-azoacetone,71163.56877,266992.5512
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",175503.7175,8027.932961
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",57486.98885,139299.8138
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",96416.35688,41856.6108
"5-Methyl-5-( 2'-propynyloxy)-1,2-octadien-7-yn-4-one",105693.3086,68366.85289
4-Pyridinecarboxamide,211488.8476,490553.0726
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",1114669.145,10962.75605
"5-oxo-5,6-secocholest-3-en-6-oic acid",90455.39033,157988.8268
"3,3-dimethylpentane-2,4-dione ",145405.2045,55409.68343
[5-methyl-3-(3-butenyl)]isoxazole ,135743.4944,55677.83985
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",14288.10409,73713.2216
"3-[(N,N-Diethylamino)carbonyl]-5-methylpyrazole",12511.15242,8862.197393
"5-hydroxy-1-deutero-1,2-pentadiene",72013.01115,572845.4376
"N,N-Diethyl-3-(2-pyridyl)-3-oxo-propionamide",3414.498141,14670.39106
4-Isopropyloxazolidin-2-one,12873.60595,381530.7263
Chromafenozide,7810557.621,14076.35009
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",559215.6134,406782.1229
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",1575488.848,3595109.87
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",1232011.152,49448.78957
"trans-1,4-Diacetoxy-2-butene",1237031.599,37581.00559
"Octa-1,3,7-triene-3,4-oxide",867860.5948,43864.05959
Ethyl 4-Methylheptanoate,1050271.375,4865810.056
"1,2-Ethanediol, monoacetate",940949.8141,1203046.555
[(E)-1-butyl-2-hex-2-enylidene]cyanamide,533579.9257,13724588.45
"2-Hydroxy-5-methylcyclohepta-2,4,6-trien-1-one",373269.5167,149661.0801
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",163247.2119,164167.5978
"[3-Amino-1,2,2-trimethylcyclopentyl]methyl acetate",98853.15985,734469.2737
"Butane, 2-isocyanato-",116312.2677,125000
Acetic acid,6883180.297,170100.5587
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",50336.43123,159888.2682
3-Ethyl-2-methyl-2-heptanol,267979.5539,436683.4264
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,39171.00372,109817.5047
Methyl propargyl ether,359213.7546,80554.93482
"(trans)-1,2,5-heptatriene",14148.69888,2822405.959
3-Hexanone,341537.1747,581828.6778
"(2R,4R)-2,4-dimethylhexan-1-ol",14749.07063,24746.74115
Methyl (E)-4-Hydroxy-6-methoxy-2-hexenoate,40334.57249,24554.93482
"1-[1,2,4]Triazol-1-ylethanone",571262.0818,56072.6257
