Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"1-Propanol, 3-(methylthio)-",176870,
"1-Propene, 2-methyl-",405138,
"1-Propene, 3-fluoro-",592108,
10-Methoxydec-8-yn-7-one,10195,
"10-Octadecenoic acid, methyl ester",100712,
10-Undecen-1-ol,231175,
"1H-Indole, 2,3-dihydro-4-methyl-",104546,
"2(3H)-Furanone, dihydro-5-propyl-",86121,
"2,2,5,5-Tetradeuteriomethoxycyclohexane",7459,
"2,2,5,5-Tetramethylhexane-3,4-diol",454773,
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",4693312,
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",54067,
"2,2-Dimethylpropanoic anhydride",40597,
"2,3,4-Trimethyl-2-pentanol",766961,
"2,3,4-Trimethyl-5-hexen-3-ol",660411,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",7636,
"2,3-Dimethyl-2,3-butanediol cyclic carbonate",9151,
"2,3-Dimethylsuccinodinitrile",122086,
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",26249,
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",38072,
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",96416,
"2,5-Dimethylhexane-2,5-dihydroperoxide",7838574,
"2,5-Hexanediol, 2,5-dimethyl-",132920,
"2,6-Diisopropylfuran",68528,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",89519,
"2,6-Octadien-1-ol, 3,7-dimethyl-, formate, (Z)-",138537,
"2,7-Epoxymegastigma-4,8(Z)-diene",112230,
"2- and 4-(Trimethoxyacetoxy)-2,5,5-trimethyl-3-hexanone",84193,
"2-((1R,2S,5R)-Menthyl)tetrahydropyran",38110,
"2-(1-Propenyl)-2-n-butyl-1,3-oxathiane",42654,
"2-(2',2'-Dimethyl-1',3'-dioxan-4'-yl)-ethanol",22556,
2-(Dibromomethyl)tetrahydropyran,26234,
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",182823,
"2-(t-Butyl)-3-pivaloyl-1,3-oxazolidin-5-one",947093,
2-(Tetrahydropyran-2-yl)oxy-5-hexen-3-ol,363976,
2-(trans-2-Methyl-2-butenoxy)cycloheptene,89452,
2-[(1-Ethynyl-1-methyl-2-propenyl)oxy]ethanol,213229,
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",145643,
"2-[1-(Methoxycarbonyl)azoethylidene]-5,6-dihydroimidazo[2,1-b]thiazol-3(2H)-one",3567,
2-[[4-Bromobut-2(E)-enyl]oxy]tetrahydropyran,32195,
2-Acetoxy-tetrahydrofuran,118688,
2-Acetyl-2-methyltetrahydrofuran,244595,
2-Acetyl-5-methylthiophene,304779,
2-amino-3-furfuryloxybenzoic acid,69664,
2-Azabicyclo[3.2.1]octan-3-one,1888593,
2-Cyclopropyl-2-methyltetrahydrofuran,20911,
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,89781,
2-Dodecanone,945138,
2-Ethyl-1-butyl methylphosphonofluoridate,76580,
2-Heptadecanone,98513,
2-Heptanone,1735411,
"2-Hydroxy-5-methylcyclohepta-2,4,6-trien-1-one",373270,
"2-Methoxymethyl-5-trimethylstannylpyrrolo[1,2-c]pyrimidin-1(2H)-one",64901,
2-Methyl-1-cyclopentanol,322296,
"2-Methyl-2-(methylaminomethyl)propane-1,3-diol",43162,
2-Methyl-2-chloro-3-(chloromethyl)butyrolactone,69355,
2-Methylpropanoic acid,103152,
2-Methylpropyl-1-nitrile,48719,
2-Nitro-1-phenylpent-4-ene-1-one,42684,
2-Nonanone,3431028,
2-O-methylbaeomycesic acid,29473251,
"2-Octenal, (E)-",49392,
"2-oxa-4-methylene-6-(methylethenylcarbonyloxy)-8-acetoxy-8,12-dimethyl-9,13-...",66673,
2-Oxetanone,257234,
2-OXOPROPIONAMIDE,98937,
2-Pentadecanol,763887,
2-Pentanone,8538199,
"2-Pentyne, 5-methoxy-",20086,
"2-Propanol, 1,1'-oxybis-",430271,
"2-Propanol, 2-methyl-",1075076,
2-Propenal,242719,
"2-Propenoic acid, 2-methyl-, methyl ester",11589,
2-Pyridinecarboxylic acid,125106,
2-Undecanol,422822,
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",108929,
"3,3-Bis(methoxymethyl)oxacyclobutane",313654,
"3,3a,4,5,6,6a-hexahydro-3a-methoxy-4-methyl-3-(4-nitrophenyl)pyrrolo[2,3-d]-...",62929,
"3,5,7-Trimethyloxepan-2-one",68091,
"3,5-Bis(trifluoromethyl)phenyl 1-phenylpropyl Sulfone",46099,
"3,5-Diamino-1,2,4-triazole",233164,
"3,7-Dioxo-4,8-dioxy-10-ethyl-1-tetradecene",200519,
3-(1-Methylpyrrolyl)-3-azoacetone,71164,
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,4526407,
"3-(Chloromethyl)-1,1,2,2-tetramethylcyclopropane",120481,
3-(Hydroxymethyl)cyclohex-2-en-1-one,31054,
3-(o-Anisyl)-3-phenylpropenal,119727,
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",559216,
"3-[(N,N-Diethylamino)carbonyl]-5-methylpyrazole",12511,
3-azido-2-hydroxy-N-(4-nitrophenyl)propane-1-sulfonamide,20221,
"3-Buten-2-ol, 4-phenyl-",131035,
3-Butylisobenzofuran-1(3H)-one,103080,
3-cyano-1-methoxymethoxyhept-2-ene,220377,
3-Cyanooct-1-en-4-ol,12087,
3-Ethoxy-2-butanone,359439,
3-Ethyl-2-methyl-2-heptanol,267980,
3-Hexanone,341537,
"3-Hydroxy-4-methoxybenzaldehyde, TBDMS",14871955,
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,227379,
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",848968,
"3-Oxa-7-thiatricyclo[3.3.0.0(2,4)]octane 7,7-dioxide",517297,
3-Oxobutyramide,447156,
3-Pentanone,67115,
"3-Penten-2-one, 3-methyl-",3314755,
3-Quinolinecarbonitrile,417375,
"4,4-Dimethoxybutanal",100426,
"4,5-Dimethylocta-1,7-diene-4,5-diol",28725,
"4,7-Bis(trimethylsilyl)-4,7-dihydro[2.2]paracyclophane",47651,
4-(1-Methoxy-2-methylpropyl)pyridine,29190,
4-(2'-methyltetrahydrofuran-2'-yl)butanone,10673,
4-(4-Nitrophenylazo)-N-ethyl-N-[2-(methacryloyloxy)ethyl]aniline,5110,
"4-Allyl-5,5-dimethylcyclohexane-1,3-dione",1264,
4-Azido-3-bromobenzene,43435,
"4-Cyclohexyl-5,5-dimethylcyclohexane-1,3-dione",326615,
4-Ethyl-2-methylpyrrole-3-carbonitrile,99855,
4-Ethylbenzoic acid,97909,
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",105379,
4-Fluoropyridine,18147,
"4-Heptanol, 4-methyl-",748277,
"4-hydroxy-4-(trifluoromethyl)-2,5-cyclohexadien-1-one",46416,
4-Hydroxy-4-phenylcyclohexanone - ethylene ketal,368046,
4-hydroxy-6-methyl-5-(3-methyl-2-buten-1-yl)-2-pyrrone,93569,
4-Isopropyloxazolidin-2-one,12874,
4-Methyl-2H-pyran,207623,
"4-Methyl-9-oxo-8-oxa-3,5-nonanothiazole-3-ium bromide",38069,
4-Pyridinecarboxamide,211489,
4-Quinolinecarboxaldehyde,72859,
"5,5-Dimethyl-1-oxaspiro[5.5]undec-2-ol",17487,
"5,6-Dihydrobenzo[c]phenanthridin-6-one",108277,
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",15123,
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,196037,
5-Acetyl-2-methylpyridine,165537,
"5-Decen-1-ol, acetate, (E)-",2870639,
5-Hexen-3-one,314613,
"5-hydroxy-1,2-pentadiene",20414,
"5-hydroxy-1-deutero-1,2-pentadiene",72013,
"5-Methyl-5-( 2'-propynyloxy)-1,2-octadien-7-yn-4-one",105693,
"5-oxo-5,6-secocholest-3-en-6-oic acid",90455,
5-Propyltetrahydropyran-2-one,57764,
"5.18 Pyrazine<2,5-dimethyl->",3612072,
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",39303,
"6,7-Dimethylquinoxaline",15664,
6-Iodo-1-octene,78861,
6-Methylbenzimidazole-2-sulfonic acid,85970,
